id,active,short_name,name,agency,category,listing,value_kind,source,summary,receive,website,apply_url,phone,timeline,cost,income_guideline,how_to_apply,notes,documents,max_fpl,child_under,min_children,min_children_age_max,min_age,needs_veteran,needs_disabled,needs_pregnant_or_child,needs_renting,needs_working,tribal,states,verify,award_formula,award_amount,urgent,deadline_days,image
eitc,TRUE,EITC,Earned Income Tax Credit (EITC),Internal Revenue Service,Tax,benefit,annual,federal,"Tax year 2025 (filed in 2026): maximum credit about $7,830 for workers with 3+ qualifying children.","Tax year 2025 (filed in 2026): maximum credit about $7,830 for workers with 3+ qualifying children. Smaller amounts for 0–2 children.",https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,IRS 1-800-829-1040. VITA locator: 1-800-906-9887. MyFreeTaxes via United Way.,Refund after you file; IRS issues most EITC refunds starting late February due to fraud-prevention hold.,Free if you use VITA / MyFreeTaxes. Do not pay a refund-anticipation loan shop a large fee.,Varies by filing status and number of children. Childless workers have a much smaller credit and tighter age rules.,File a federal tax return. Free help: IRS Volunteer Income Tax Assistance (VITA) and United Way MyFreeTaxes.,Must file even if you owe no tax. Keep wage statements. ITIN filers have special rules. State EITCs are extra money in many states including CA (CalEITC).,W-2s/1099s; SSNs for household; child residency/relationship proof if asked,250,,,,,,,,,TRUE,,,,eitc,,,,/images/tax-credit.jpg
ctc,TRUE,CTC,Child Tax Credit (CTC) + Additional CTC,Internal Revenue Service,Tax,benefit,annual,federal,"Up to $2,000 per qualifying child under current law; refundable portion is smaller and requires earned income.","Up to $2,000 per qualifying child under current law; refundable portion is smaller and requires earned income.",https://www.irs.gov/credits-deductions/individuals/child-tax-credit,https://www.irs.gov/credits-deductions/individuals/child-tax-credit,1-800-829-1040,With your tax refund.,Free to claim on your return.,Available well into middle income; phases out at higher AGI.,File Form 1040. Use VITA if needed.,Rules have changed several times; confirm current-year amount at IRS.gov before filing.,Child SSNs; proof of residency if audited,,,1,17,,,,,,TRUE,,,,ctc,,,,/images/tax-credit.jpg
general-relief,TRUE,GA,County General Assistance / General Relief,County human-services departments,Cash,benefit,monthly,state,Small monthly cash or voucher (often $200–$500 range where it exists).,Small monthly cash or voucher (often $200–$500 range where it exists). Sometimes housing vouchers or bus passes instead of cash.,https://www.usa.gov/state-social-services,https://www.usa.gov/state-social-services,County social services; or 211,Same week to 30 days depending on county.,Free.,Near-zero countable income/resources.,Apply at county welfare / social services office.,Not a federal entitlement. Ask specifically—many people miss this because it is not advertised nationally.,ID; proof of county residence; income/resources; work-search log if required,80,,,,,,,,,,,,,flat,300,,,/images/cash-aid.jpg
liheap,TRUE,LIHEAP,LIHEAP (Low Income Home Energy Assistance Program),HHS Office of Community Services,Bills,benefit,seasonal,federal,"Typically $200–$1,500 per year depending on state, fuel type, and crisis status.","Typically $200–$1,500 per year depending on state, fuel type, and crisis status. Separate crisis benefit if you have a shutoff notice.",https://www.acf.hhs.gov/ocs/programs/liheap,https://www.usa.gov/help-with-energy-bills,National Energy Assistance Referral: 1-866-674-6327. Or 211.,2–8 weeks for regular benefits. Crisis/shutoff cases faster (often 18–48 hours once complete).,Free.,Usually ≤150% FPL or ≤60% SMI. State charts published each program year.,Apply through state LIHEAP office or local Community Action Agency. Some states accept online applications.,Funds run out—apply early in the season. One application may also screen you for Weatherization. Keep shutoff notices.,ID; Social Security numbers; recent utility bill; proof of income; shutoff notice if crisis,150,,,,,,,,,,,,residency,flat,75,TRUE,12,/images/liheap-hero.jpg
weatherize,TRUE,WAP,Weatherization Assistance Program (WAP),U.S. Department of Energy,Bills,benefit,one-time,federal,In-kind weatherization worth several thousand dollars.,In-kind weatherization worth several thousand dollars. Not a cash payment.,https://www.energy.gov/scep/wap/weatherization-assistance-program,https://www.usa.gov/help-with-energy-bills,State WAP office; 211,Months to 1–2 years on waitlists. Audit then work scheduled.,Free to eligible households.,Typically ≤200% FPL.,Apply via state WAP office or Community Action Agency (often the same door as LIHEAP).,Renters can qualify with landlord consent. Not an emergency shutoff program—use LIHEAP crisis for that.,Income proof; proof of ownership or rental agreement + landlord permission; utility bills,200,,,,,,,,,,,,residency,flat,200,,24,/images/weatherize.jpg
care,TRUE,CARE,California CARE and FERA utility discounts,"California investor-owned utilities (SCE, PG&E, SDG&E, SoCalGas) overseen by CPUC",Bills,benefit,monthly,state,CARE: typically ~30–35% off electric and 20% off gas.,"CARE: typically ~30–35% off electric and 20% off gas. FERA: smaller discount for households just above CARE income (electric only, larger households).",https://www.cpuc.ca.gov/consumer-support/financial-assistance-programs,https://www.sce.com/residential/assistance/care-fera,"Your utility CARE line, or 211",Often 1 billing cycle after approval.,Free.,Published annually by each utility; CARE roughly near 200% FPL.,Apply on your utility's website or by mail. Recertify every 1–2 years.,"Ontario, CA is typically Southern California Edison + SoCalGas territory—apply with both. Also ask about Medical Baseline if someone in the home uses life-support equipment.",Account number; income or program-enrollment proof,250,,,,,,,,,,,CA,,flat,38,,,/images/liheap-hero.jpg
salvation-army,TRUE,SA,Salvation Army Emergency Financial Assistance,The Salvation Army,Bills,benefit,one-time,nonprofit,One-time vendor payment (utility or landlord paid directly).,"One-time vendor payment (utility or landlord paid directly). Amounts often $50–$300. Seasonal programs (coats, toys, food boxes) are more common than cash.",https://www.salvationarmyusa.org,https://www.salvationarmyusa.org/usn/provide-housing/,1-800-SAL-ARMY (1-800-725-2769) or local corps,Same day to 2 weeks. Funds often gone by mid-month.,Free. Never pay a fee or buy a 'voucher.',Low-income; locally defined.,Call or walk into the nearest Salvation Army. Use location finder. Also call 211 for a referral.,"Ask about food pantry, clothing, Christmas assistance, and Pathway of Hope case management. Bring the actual shutoff/eviction notice.",Photo ID; Social Security cards; lease; utility bill; shutoff/eviction notice; proof of income,200,,,,,,,,,,,,,flat,50,TRUE,7,/images/liheap-hero.jpg
catholic-charities,TRUE,CC,Catholic Charities emergency assistance,Catholic Charities USA member agencies,Bills,benefit,one-time,nonprofit,"Varies: one-time bill payment, food, shelter referral, counseling.","Varies: one-time bill payment, food, shelter referral, counseling. Some dioceses run rapid-rehousing.",https://www.catholiccharitiesusa.org,https://www.catholiccharitiesusa.org/find-help/,Local agency; or 211,Days to 3 weeks. Emergency slots limited.,Free.,Low-income; locally defined.,Find your local agency via CCUSA locator and call for intake hours.,"Quality and funding vary by diocese. Ask about specialized programs (veterans, refugees, disaster).",ID; proof of residence; bills; income,200,,,,,,,,,,,,,flat,50,,,/images/liheap-hero.jpg
svdp,TRUE,SVdP,Society of St. Vincent de Paul,National Council of the U.S. Society of St. Vincent de Paul,Bills,benefit,one-time,nonprofit,"Modest, targeted help after a home visit.","Modest, targeted help after a home visit. Not a large cash grant program.",https://ssvpusa.org,https://ssvpusa.org/need-help/,Local conference; 211,Home visit often within 1–2 weeks.,Free.,Demonstrated need.,Call the local conference or diocesan council (finder on website) or 211.,Very local and relationship-based. Good complement to LIHEAP/SNAP.,ID; bills; volunteers will discuss the situation in person,200,,,,,,,,,,,,,flat,40,,,/images/liheap-hero.jpg
csbg,TRUE,CAA,Community Action Agencies (CSBG),Local CAAs funded by HHS Community Services Block Grant,Bills,benefit,one-time,nonprofit,"Depends on the agency: utility help, rent, car repairs, diapers, GED classes, tax prep, etc.","Depends on the agency: utility help, rent, car repairs, diapers, GED classes, tax prep, etc.",https://communityactionpartnership.com,https://communityactionpartnership.com/find-a-cap/,Local CAA; 211,Walk-in or appointment; 1 day to several weeks.,Free.,Typically ≤125–200% FPL depending on the specific service.,Find your CAA via Community Action Partnership locator.,One of the most useful 'one-stop' doors. Ask them to screen you for every program they run.,ID; proof of income; utility/rent bills,200,,,,,,,,,,,,,flat,60,,,/images/liheap-hero.jpg
fema-efsp,TRUE,EFSP,FEMA Emergency Food and Shelter Program (EFSP),FEMA funded,Bills,benefit,one-time,nonprofit,"Delivered as pantry food, shelter nights, or a rent/utility payment through a local agency.","Delivered as pantry food, shelter nights, or a rent/utility payment through a local agency.",https://www.fema.gov,https://www.211.org,211 or local United Way,Same as the local agency (days).,Free.,Locally defined.,Do not apply to FEMA for routine EFSP. Call 211 or a local United Way / food pantry / shelter that receives EFSP.,"Separate from FEMA Individual Assistance, which is only after a presidentially declared disaster. FY2026 EFSP funding exists but future budgets are politically uncertain.",Whatever the local agency requires,200,,,,,,,,,,,,,flat,40,,,/images/liheap-hero.jpg
lifeline,TRUE,Line,Lifeline (federal phone / internet discount),FCC,Phone,benefit,monthly,federal,Up to $9.25/month off service ($34.25/month on qualifying Tribal lands).,Up to $9.25/month off service ($34.25/month on qualifying Tribal lands). Many wireless carriers offer a free smartphone plus a limited-data plan when combined with Lifeline.,https://www.lifelinesupport.org,https://www.lifelinesupport.org/get-started/,1-800-234-9473 | LifelineSupport@usac.org,Online application ~10 minutes. Approval can be same day to 1–2 weeks if documents are requested. Phone ships after a carrier enrolls you.,Free to apply. Handset may be free or low-cost depending on carrier promotions. Never pay an 'activation fee' to a random Facebook ad.,"2026 135% FPL examples (48 states): 1 person $21,546; 2 $29,214; 3 $36,882; 4 $44,550.","Apply at LifelineSupport.org (National Verifier) or through a participating carrier (Assurance Wireless, SafeLink, TruConnect, etc.).","Recertify every year. ACP is gone—ignore ads that still promise the old $30 ACP benefit. California also has a separate, more generous California LifeLine.",Name; DOB; last 4 of SSN or Tribal ID; address; proof of program or income if National Verifier cannot auto-check,150,,,,,,,,,,,,,flat,9,,,/images/connectivity.jpg
ca-lifeline,TRUE,CA Line,California LifeLine,California Public Utilities Commission,Phone,benefit,monthly,state,Monthly service discount; many wireless carriers offer a free phone + service bundle to CA LifeLine customers.,Monthly service discount; many wireless carriers offer a free phone + service bundle to CA LifeLine customers.,https://www.californialifeline.com,https://www.californialifeline.com/en/application_form,1-877-858-7463,1–3 weeks typical after carrier submits your form.,Free.,CPUC publishes annual income caps (higher than 135% FPL).,Apply through a participating carrier or the California LifeLine administrator. Federal Lifeline in CA also routes through state processes.,"Ontario, CA residents should apply for California LifeLine rather than only federal Lifeline. You generally cannot stack two Lifeline benefits in one household.",CA address; ID; SSN or Tribal ID; proof of program or income,150,,,,,,,,,,,CA,,flat,20,,,/images/connectivity.jpg
section8,TRUE,HCV,Housing Choice Voucher (Section 8),HUD via local Public Housing Agencies (PHAs),Housing,benefit,monthly,federal,PHA pays the landlord the difference between the payment standard and ~30% of your adjusted income.,PHA pays the landlord the difference between the payment standard and ~30% of your adjusted income. You pay the tenant share.,https://www.hud.gov/helping-americans/,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts,HUD 1-800-955-2232. Local PHA.,Waiting lists commonly 1–8+ years. Once issued a voucher you typically have 60–120 days to lease a unit.,Free to apply.,HUD income limits by metro and household size (updated annually). Extremely-low-income preference is common.,Apply to your local PHA when the waiting list is open. Search HUD PHA directory. Apply to multiple PHAs if rules allow.,"Ontario, CA is served by Housing Authority of the County of San Bernardino and nearby PHAs. Watch list-opening announcements. Portability rules apply if you move.",IDs; SSNs; birth certificates; income; assets; landlord history; immigration documents,80,,,,,,,,TRUE,,,,,rent70,,,,/images/housing.jpg
public-housing,TRUE,PHA,Public Housing,HUD via local PHAs,Housing,benefit,monthly,federal,Subsidized rent in a PHA-owned unit.,Subsidized rent in a PHA-owned unit. Some sites include utilities.,https://www.hud.gov/helping-americans/,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts,Local PHA; HUD 1-800-955-2232,Waiting lists often years.,Free to apply.,HUD limits by area.,Apply through the local PHA (often the same portal as Section 8).,Ask the PHA about project-based vouchers and tax-credit (LIHTC) properties too.,Same family of documents as Section 8,80,,,,,,,,,,,,,rent50,,,,/images/housing.jpg
hud-vash,TRUE,VASH,HUD-VASH (Veterans Affairs Supportive Housing),HUD + U.S. Department of Veterans Affairs,Housing,benefit,monthly,federal,Rental voucher + supportive services.,Rental voucher + supportive services.,https://www.va.gov/homeless/hud-vash.asp,https://www.va.gov/homeless/hud-vash.asp,National Call Center for Homeless Veterans: 1-877-424-3838,"Faster than regular Section 8 in many areas, but still depends on voucher availability and unit search.",Free.,HUD voucher income rules.,"Start with VA homeless services / HUD-VASH coordinator at your VA medical center, or the National Call Center for Homeless Veterans.",Also ask about SSVF (Supportive Services for Veteran Families) for short-term rent/utility help.,DD-214; VA enrollment; income; homelessness documentation,80,,,,,TRUE,,,,,,,,rent70,,,,/images/housing.jpg
continuum-of-care,TRUE,CoC,Continuum of Care / Emergency Solutions Grants (homelessness system),"HUD-funded local Continuums of Care, shelters, and rapid-rehousing providers",Housing,benefit,one-time,nonprofit,"Shelter bed, short-term rental help, or a long-term supportive-housing slot—not a free house to own.","Shelter bed, short-term rental help, or a long-term supportive-housing slot—not a free house to own.",https://www.hudexchange.info/programs/coc/,https://www.211.org,211; local homeless hotline,Shelter: same night if a bed is open (often waitlists). Rapid rehousing: weeks to months. PSH: many months to years.,Free.,Very low / none for shelter. Rapid rehousing has local targeting.,"Call 211, go to the local coordinated-entry access point, or contact a shelter. Do not apply on HUD.gov as an individual for CoC grants.","If you are fleeing DV, contact the National Domestic Violence Hotline 1-800-799-7233—there are confidential housing paths.",ID if available; assessment interview is the main step,150,,,,,,,,,,,,,zero,,,,/images/housing.jpg
usda-rural,TRUE,USDA,USDA Section 502 Direct & 504 Rural Housing,USDA Rural Development,Housing,benefit,one-time,federal,502: low-interest mortgage that can drop toward 1% with payment assistance.,"502: low-interest mortgage that can drop toward 1% with payment assistance. 504: up to $10,000 grant (age 62+) or $40,000 loan for repairs to remove health/safety hazards.",https://www.rd.usda.gov/programs-services/single-family-housing-programs,https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-direct-home-loans,USDA RD state office,Months. Packaging nonprofits can help.,No application fee at USDA; closing costs still exist (sometimes packaged into the loan).,USDA county income limits.,Apply at local USDA Rural Development office.,Use the USDA property-eligibility site before applying. Mutual Self-Help Housing is a related sweat-equity program in some rural counties.,Income; tax returns; credit; property info,80,,,,,,,,,,,,,zero,,,,/images/housing.jpg
habitat,TRUE,Habitat,Habitat for Humanity homeownership,Habitat for Humanity International + local affiliates,Housing,benefit,one-time,nonprofit,A modest house with an affordable (often 0-interest) Habitat mortgage.,A modest house with an affordable (often 0-interest) Habitat mortgage. You build sweat equity and then make monthly payments that recycle into more homes. You do not receive a free deed.,https://www.habitat.org,https://www.habitat.org/housing-help/apply,1-800-422-4828,Application windows are short. From selection to move-in often 12–24+ months including sweat equity.,Closing costs and a modest down payment (sometimes a few hundred to a few thousand). Monthly mortgage thereafter. Sweat equity (often 200–400 hours).,Local AMI bands. Example ranges often sit between a floor (ability to pay) and ~60% AMI cap.,Contact your local Habitat affiliate. National number can route you.,ReStores sell donated furniture/building materials cheaply even if you are not a homebuyer. Do not pay anyone who claims they can 'get you a Habitat house' for a fee.,IDs; 2 years taxes; pay stubs; bank statements; landlord history; credit authorization,80,,,,,,,,,TRUE,,,,zero,,,,/images/housing.jpg
charity-cars,TRUE,Cars,Free Charity Cars (1-800-Charity Cars),"Charity Cars, Inc. (Free Charity Cars)",Rides,benefit,one-time,nonprofit,A used donated vehicle.,A used donated vehicle. Sometimes help with plates/insurance is mentioned; do not count on extras.,https://freecharitycars.org,https://freecharitycars.org/vehicle-request-form/,1-800-242-7489,Often 6–18 months if selected at all. Many applicants are never matched. Not an emergency program.,"Free to apply. You will owe registration, insurance, and future repairs.",Low-income / financial hardship (organization reviews story + docs).,"Read FAQ, then submit the vehicle request form. Reapply every 3 months. Sharing donation appeals on social media is encouraged by the charity.",High-scam space. Confirm you are on freecharitycars.org / 800charitycars.org. Never pay a 'processing fee' or ship money for a car you have not seen.,License; proof of income/need; story; additional docs if shortlisted,200,,,,,,,,,TRUE,,,,zero,,,,/images/transport.jpg
vehicles-for-change,TRUE,VFC,Vehicles for Change,"Vehicles for Change, Inc.",Rides,benefit,one-time,nonprofit,Inspected used car + access to nonprofit repair shops in some locations.,Inspected used car + access to nonprofit repair shops in some locations.,https://www.vehiclesforchange.org,https://www.vehiclesforchange.org,See website contact (Maryland HQ),"30–90 days after a complete referred application, if a car is available.",Often a low award fee rather than $0. Budget for insurance immediately.,Low-income working families.,Get a referral from a partner social-service agency; then apply.,"More reliable than purely 'vote for my story' models, but geographic limits apply.",Referral; license; proof of employment and income; insurance ability,200,,,,,,,,,TRUE,,,,zero,,,,/images/transport.jpg
nclc-cars,TRUE,NCLC,Working Cars for Working Families (program directory),National Consumer Law Center (directory of 100+ local nonprofits),Rides,directory,one-time,nonprofit,A map to local programs that actually operate near you.,A map to local programs that actually operate near you.,https://www.nclc.org/find-a-car-program/,https://www.nclc.org/find-a-car-program/,Contact the local program listed,Varies by program (weeks to many months).,Free directory. Individual programs may charge a small award fee or offer a loan.,Program-specific.,Open the NCLC finder and contact the program in your state.,Best starting point for 'free or cheap car' searches after checking TANF diversion and local CAAs.,Depends on the local program,,,,,,,,,,,,,,zero,,,,/images/transport.jpg
va-auto,TRUE,VA auto,VA Automobile Allowance and Adaptive Equipment,U.S. Department of Veterans Affairs,Rides,benefit,one-time,federal,"A substantial one-time (generally every few years per statute) grant—recent amounts have been in the mid-$20,000s and are adjusted.","A substantial one-time (generally every few years per statute) grant—recent amounts have been in the mid-$20,000s and are adjusted. Plus adaptive equipment.",https://www.va.gov/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment/,https://www.va.gov/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment/,1-800-827-1000,"Months, tied to claims processing.",Free to apply.,Not income-tested; disability-rated.,File VA Form 21-4502 through VA.,"Very specific medical criteria. Ask a VSO (DAV, VFW, American Legion) for help filing.",VA disability rating evidence; Form 21-4502,,,,,,TRUE,,,,,,,,zero,,,,/images/transport.jpg
ride-united,TRUE,Rides,United Way Ride United (essential rides),United Way Worldwide + 211 + Lyft partnership,Rides,benefit,one-time,nonprofit,Individual Lyft (or similar) rides booked through 211.,Individual Lyft (or similar) rides booked through 211.,https://www.unitedway.org/ride-united,https://www.211.org,211,Same day if the program is funded locally.,Free or reduced to the rider.,Need-based; locally screened.,Call 211 and ask for Ride United / transportation assistance.,Use this while waiting on a car program. Also ask Medicaid/Medi-Cal about non-emergency medical transportation.,211 intake only,,,,,,,,,,,,,,zero,,,,/images/transport.jpg
dress-for-success,TRUE,DFS,Dress for Success,Dress for Success Worldwide + local affiliates,Goods,benefit,one-time,nonprofit,Interview outfit and often a working wardrobe after hiring; coaching and job-readiness support.,Interview outfit and often a working wardrobe after hiring; coaching and job-readiness support.,https://dressforsuccess.org,https://dressforsuccess.org/get-help/,Local affiliate listed on site,1–3 weeks after referral for a boutique appointment.,Free to clients.,Typically low-income job seekers.,"Get a referral from a partner organization, then book through the local affiliate.",Men: see Career Gear or local workforce clothing closets. Call 211 for a closet if no affiliate exists.,Referral form; ID; interview/job documentation helps,,,,,,,,,,TRUE,,,,zero,,,,/images/goods.jpg
